Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn,sql_yn,sas_yn,d3js_yn,julia_yn,jupyter_yn,keras_yn,matlab_yn,matplotlib_yn,pytorch_yn,scikit_yn,tensor_yn,weka_yn,selenium_yn,hadoop_yn,tableau_yn,bi_yn,bigml_yn,rapidminer_yn,flink_yn,datarobot_yn,hana_yn,mongo_yn,trifacta_yn,minitab_yn,kafka_yn,microstrategy_yn,google_an_yn,spss_yn,job_simp,seniority_by_title,seniority_by_description,seniority,desc_len,desc_len_words
2024 University Graduate - Data Scientist,Employer Provided Salary:$83K - $153K,"our company  changing the world through digital experiences is what adobe’s all about. we give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! we’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.  we’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. we realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!  the opportunity do you love to solve complex business problems and use data to find the signal in the noise? join the product and customer analytics team at adobe! we are a high-impact, high-visibility team well-suited to individuals with a highly quantitative, inquisitive bent of mind. we use data science to quantify and optimize the product experience for our customers! the ideal candidate will be able to work autonomously and will have a technical background with great communication and project management skills.  you will use data to help product, marketing and engineering teams achieve operational and execution efficiencies. your success is predicated on finding opportunities and providing insights that enable our enterprise business to lower customer churn, increase user engagement, and facilitate product-led growth. we are looking for a data scientist to improve the adoption and utilization of all our experience cloud products. the opportunity is huge, ranging from crafting experiments, building machine learning models to developing new product features. we need a creative self-starter who is passionate about data and knowledge of using data science to enhance customer experience.  what you’ll do as a data scientist in a multi-functional group of product managers, marketers, and software developers, you will tap into the underlying usage data, and generate insights to develop highly effective programs for adobe’s experience cloud products. you will analyze changes in user engagement which are key drivers of customer growth and retention. you will also work with data engineers to automate data pipelines to scale user analytics. you will establish relationships with partners across the experience cloud business unit to execute team’s projects. what you need to succeed strong proficiency with statistical programming software like python (pandas, scikit-learn) and/or r (dplyr, ggplot2) experience with predictive modeling and machine learning algorithms (supervised and unsupervised) strong knowledge of statistics & hypothesis testing experience in querying, manipulating, and analyzing large data sets using sql and/or sql-like languages. experience with version control software github and data visualization tools such as tableau or powerbi understanding of experimental design & measurement (a/b testing) communicate effectively and manage relationships with partners coming from both technical and non-technical backgrounds develop relationships with engineers and stakeholders our compensation reflects the cost of labor across several u.s. geographic markets, and we pay differently based on those defined markets. the u.s. pay range for this position is $82,600 -- $153,100 annually. pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. your recruiter can share more about the specific salary range for the job location during the hiring process.  at adobe, for sales roles starting salaries are expressed as total target compensation (ttc = base + commission), and short-term incentives are in the form of sales commission plans. non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the annual incentive plan (aip).  in addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.  adobe is proud to be an equal employment opportunity and affirmative action employer. we do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. learn more.  adobe aims to make adobe.com accessible to any and all users. if you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.  adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.",4.4,"Adobe
4.4","San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,1,83.0,153.0,118.0,Adobe,CA,41,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,4862,729
Data Scientist – Entry Level 2024,Employer Provided Salary:$71K - $133K,"introduction ranked by forbes as one of the world’s best employers in 2022, ibm promotes growth and innovation to lead as we enter the era of hybrid cloud and ai – helping clients transform their business.  as a data scientist, you will be a member of a technical sales agile team to co-develop innovative business solutions with our clients. you will be directly collaborating and impacting the world’s most influential enterprises and brands on the adoption of next-generation platforms.  ibm’s comprehensive onboarding program and industry-leading learning culture will prepare you with a strong foundation for client success. our sales environment is collaborative and experiential.  you'll be surrounded by bright minds and keen co-creators ready to assist as you apply practices that will compel our clients to invest in ibm's products and services.   in this role, you’ll be the go-to subject matter expert, collaborating with colleagues from various roles to define solutions and lead the way in how they get built in the age of cloud and ai. this role is hands-on; co-creating using data science, machine learning and programming skills in six-week client engagements.  a 'day-in-the life' of a data scientist may include, but not be limited to: to be successful in this role, you will need: opportunities are available in: atlanta ga, boston ma, chicago il, dallas tx, new york ny, san francisco ca, and washington dc – to name a few.",3.9,"IBM
3.9","Atlanta, GA",10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,1,71.0,133.0,102.0,IBM,GA,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,1444,239
Data Scientist 2,Employer Provided Salary:$94K - $183K,"the microsoft 365 team is looking for a data scientist 2 to help design and build one of the fastest growing cloud services in microsoft. do you want to design and develop new components that solve complex distributed systems and search optimization problems? do you want to work on a product that ships new features every week? if the answer to these questions is yes, then the microsoft 365 storage fabric team has an opportunity for you get in on designing and building a core part of the stack. we develop software from the ground-up, running across thousands of servers with oceans of data. we build and operate the largest enterprise cloud productivity system in the world. across products such as exchange, teams, and sharepoint, we power communication, sharing, search, intelligent assistance for customers, extensibility through microsoft graph, and more. throughout we maintain very high reliability and availability, privacy and compliance for customers, and latency in milliseconds. we apply a combination of approaches from the fields of api design, machine learning, distributed computing, workflow engines, algorithm optimization, and many more. come to define, design, and deliver what enterprise cloud productivity means.      microsoft is an equal opportunity employer. consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. if you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,1,94.0,183.0,138.5,Microsoft,WA,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,2003,292
Entry Level Data Scientist 2023/2024,$48K - $78K (Glassdoor est.),"you may not realize it, but you’ve likely used a product today made possible by the plastics and chemicals manufactured by chevron phillips chemical. from medical supplies and electronics to food packaging and cosmetics, we create the building blocks for more than 70,000 consumer and industrial products.  even as a global company with 5,000 employees, we maintain a “small company feel” and uphold a culture of respect, diversity, and inclusion. ask any chevron phillips chemical employee what they like best about their job, and universally, the answer is “the people i work with!” we value work-life balance, and love to see our employees thrive both professionally and personally. there has never been a better time to work for chevron phillips chemical. if you’re ready to grow with us and become part of our vision of being the premier chemical company, apply today!",3.9,"CPChem
3.9","The Woodlands, TX",1001 to 5000 Employees,2000,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD),0,0,48.0,78.0,63.0,CPChem,TX,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,873,143
Data Scientist (C),Employer Provided Salary:$65.00 - $75.00 Per Hour,"the team: at client’s artificial intelligence center of excellence (ai coe), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. collect requirements and deliver high value ai/ml solutions that drive customer, shareholder, and business value. the ai coe houses some of the highest caliber scientists, mathematicians and statisticians who implement the use of rigorous ai & quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand. those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry. we are looking for an experienced data science ai engineer to join our team at client you will play a critical role in developing and fine-tuning ai models using the vertex.ai platform. the ideal candidate should have a strong background in natural language processing (nlp), machine learning, and software engineering. your expertise in ai prompt engineering, coupled with proficiency in the vertex.ai platform, will be essential in creating high-quality ai models to enhance the capabilities of client.",-1.0,IVID TEK INC,Remote,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,1,124.0,144.0,134.0,IVID TEK IN,Remote,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,1247,193
Senior Data Scientist,Employer Provided Salary:$141K - $254K,"position: senior data scientist  job location: 208 s. akard street, dallas, tx 75202 [and various unanticipated locations throughout the u.s.; may work from home]  duties: at&t services, inc. is looking for a senior data scientist in dallas, tx [and various unanticipated locations throughout the u.s.; may work from home] to be responsible for the automation of the resultant models designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining, and research purposes, as well as the automation of the resultant models. work closely with it, sales and marketing organizations functional leads to formulate hypothetical insights and work through the lifecycle of delivering these insights to production. design and build large and complex data sets, from spurious sources while thinking strategically about uses of data and how data use interacts with data design. design and implement statistical data quality procedures around new data sources and the automation of the resultant models. perform data studies and data discovery around new data sources or new uses for existing data sources. implement software required for accessing and handling data appropriately. implement and hand off data checking and updating procedures to teams. perform statistical analyses with existing data sets in statistical packages. visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization. research and implement software and hardware related to mobile technology.",3.6,"AT&T
3.6","Dallas, TX",10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),0,1,141.0,254.0,197.5,AT&T,TX,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,na,sr,1579,234
Data Scientist,Employer Provided Salary:$85K,"details department: workforce planning and analytics schedule: full time, 8-hour day shift, monday - friday location: remote  benefits paid time off (pto) various health insurance options & wellness plans retirement benefits including employer match plans long-term & short-term disability employee assistance programs (eap) parental leave & adoption assistance tuition reimbursement ways to give back to your community",3.4,"Ascension
3.4",Remote,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,85.0,85.0,85.0,Ascension,Remote,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,419,58
Data Scientist,$102K - $138K (Glassdoor est.),"company description  visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive. when you join visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. we believe that economies that include everyone everywhere, uplift everyone everywhere. your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.",4.1,"Visa
4.1","Washington, DC",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,0,102.0,138.0,120.0,Visa,DC,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,819,124
Data Scientist- CalAIM,Employer Provided Salary:$51.00 - $68.72 Per Hour,"salary: $51.00 - $68.72 per hour community programs is a program office within health services administration, a division under the los angeles county department of health services (dhs). community program’s mission is to improve the health and wellbeing of la county’s people experiencing homelessness by providing housing and intensive care management services. in addition to other responsibilities this position may have a lead role in the tracking, reporting, quality assurance, and billing efforts for calaim, a medi-cal waiver program. they will be using their expertise to help lead a team of predictive analysts who will be providing data collection, analytic, and billing support for calaim services tracking and medi-cal billing while simultaneously building dashboards and providing regular descriptive analyses.",3.3,"Heluna Health
3.3","Los Angeles, CA",1001 to 5000 Employees,1968,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $100 million (USD),1,1,97.0,131.0,114.0,Heluna Health,CA,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,824,119
Data Scientist,$106K - $168K (Glassdoor est.),"job title: data scientist - 100% remote location: remote (open to candidates with h1b, gc, or usc status) experience level: 9+ years job type: full-time job description: position overview: as a data scientist at [your company name], you will play a critical role in designing and implementing advanced data-driven solutions. you will work with a team of talented professionals in a 100% remote setup, ensuring that our clients' data is leveraged to its fullest potential to drive business success.",-1.0,Pashtek,"Arizona City, AZ",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,106.0,168.0,137.0,Pashte,AZ,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,497,79
Data Scientist,$88K - $133K (Glassdoor est.),"spalding consulting, inc. is seeking a data scientist at mcas cherry point at havelock, nc. spalding consulting, inc. is a professional services company delivering cutting-edge solutions to the department of defense since 2001. our expert-level solutions include software development, information technology, program management, financial management and business intelligence services. spalding consulting offers competitive compensation, career development, flexible work schedules and excellent benefits.  position type: full-time  come join our team as we support naval aviation at marine corps air station cherry point. if you seek a dynamic work environment that challenges you to learn and grow in data analysis, visualization, ai and ml, we have the opportunity for you.       must be eligible to obtain a secret clearance. requirements to obtain a clearance include us citizenship, security investigation, etc.   bs or ba degree in engineering, computer science, information systems, business, mathematics, statistics or relevant technical discipline. preferred. additional years of experience may replace degree requirements.  spalding consulting, inc. is committed to providing equal employment opportunities to all applicants and employees. we will not discriminate against any employee or applicant on the basis of race, color, ethnic origin, national origin, creed, religion, political belief, sex (including pregnancy), sexual orientation, gender identity, marital status, age, military status, physical or mental disability, or any other legally protected basis, in accordance with applicable federal, state or local laws. spalding consulting, inc. is an affirmative action/equal opportunity employer and encourages minorities, women, disabled, and veterans to apply for job openings within our company.",4.0,"Spalding Consulting, Inc.
4.0","Havelock, NC",201 to 500 Employees,2001,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),0,0,88.0,133.0,110.5,"Spalding Consulting, Inc.",NC,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,1818,257
Data Scientist,Employer Provided Salary:$122K - $175K,"lawrence berkeley national laboratory has multiple openings for a data scientist in berkeley, ca.  duties: create, develop and maintain a broad array of complex numerical models and programming scripts or tools in order to analyze challenging technical and energy policy issues. demonstrate good judgment in selecting methods and techniques. create, manage, and utilize complex databases with a diverse scope, including technical and economic data. identify meaningful insights from data. investigate, create and develop new methods and apply those concepts to energy use and lifecycle cost analysis. contribute to federal register notices, technical support documents and memos, summarizing methods, data sources, results, conclusions, and/or energy and economic implications. develop presentations for public meetings. manage multiple tasks under tight deadlines and uncertain schedules. offer guidance and direction to more junior-level researchers.",4.1,"Lawrence Berkeley National Laboratory
4.1","San Francisco, CA",1001 to 5000 Employees,1931,Government,Research & Development,Management & Consulting,$500 million to $1 billion (USD),0,1,122.0,175.0,148.5,Lawrence Berkeley National Laboratory,CA,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,952,130
Junior Data Scientist,Employer Provided Salary:$70K - $105K,"company description  read this first: if you have what it takes for this job, but don't meet all the criteria within the job description, we encourage you to apply. we'd like to connect with you to see what skills and experience you could bring to our team. publicis media is one of publicis groupe’s four solution hubs, aligning all of publicis groupe’s media agencies and operations. publicis groupe (euronext paris exchange: fr0000130577; cac 40 index), is the world’s third largest communications group. the data, technology and innovation global practice was created to deliver best-in-class programmatic solutions as well as to consolidate publicis media’s data and technology to transform our business from a service business to a platform business.",3.9,"Publicis Media
3.9","New York, NY",10000+ Employees,1926,Company - Public,Advertising & Public Relations,Media & Communication,$5 to $10 billion (USD),0,1,70.0,105.0,87.5,Publicis Media,NY,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,jr,na,jr,756,119
Entry Level - Associate Data Scientist - Commercial,Employer Provided Salary:$93.00 - $121.00 Per Hour,"introduction as a associate data scientist at ibm, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. work with best in class open source and visual tools, along with the most flexible and scalable deployment options. whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.  your role and responsibilities you uncover the stories hidden in data and find patterns in the numbers. as an associate data scientist, you’ll put this skill to work to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations for better outcomes. you’ll use a variety of data (structured, unstructured, iot streaming), analytics, ai tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.  armed with data, modeling expertise, and analytic results, as an associate data scientist, you’ll formulate conclusions and recommendations to stakeholders in an organization's leadership structure, leveraging strong consulting, communication, visualization, and storytelling skills.    we have a number of positions open in these locations:     willingness to travel up to 100%.",3.9,"IBM
3.9","Atlanta, GA",10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),1,1,178.0,232.0,205.0,IBM,GA,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,1401,209
"Data Scientist, Analytics",Employer Provided Salary:$112K,"3+ years of domain experience in a consumer internet business, or in a high-velocity, high-growth product or team expert sql skills and proficiency in python/r experience using data to create insight and drive business results fluency in data analysis and communication around data, including time series analysis, experimentation, data visualization, and defining the kpi strategy for your business excellent team player with the ability to maintain relationships bachelor's degree if you are interested in this position, please apply on twitch's career site https://www.twitch.tv/jobs/en/   launched in 2011, twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. we bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. twitch also hosts twitchcon, where we bring everyone together to celebrate and grow their personal interests and passions. we're always live at twitch.   as a data scientist, analytics member of the data platform - insights team, you'll provide data analysis and support for platform, service, and operational engineering teams at twitch, shaping the way success is measured. defining what questions should be asked and scaling analytics methods and tools to support our growing business. additionally, you will help support the vision for business analytics, solutions architecture for data related business constructs, as well as tactical execution such as experiment analysis and campaign performance reporting. you are paving the way for high-quality, high-velocity decisions and will report to the manager, data science.  for this role, we're looking for an experienced data staff who will oversee data instrumentation, dashboard/report building, metrics reviews, inform team investments, guidance on success/failure metrics and ad-hoc analysis. you will also work with technical and non-technical staff members throughout the company, and your effort will have an impact on hundreds of partners at twitch    we are open to hiring candidates to work out of one of the following locations:  irvine, ca, usa | seattle, wa, usa | virtual location - ca  we are an equal opportunity employer and value diversity at twitch. we do not discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, or disability status, or other legally protected status.  pursuant to the los angeles fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  our compensation reflects the cost of labor across several us geographic markets. the base pay for this position ranges from $111,600/year in our lowest geographic market up to $212,800/year in our highest geographic market. pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. amazon is a total compensation company. dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. for more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. applicants should apply via our internal or external career site.",3.7,"Twitch Interactive, Inc.
3.7",California,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,112.0,112.0,112.0,"Twitch Interactive, Inc.",California,29,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,3621,541
Grace Hopper 2023: Data Scientist,$82K - $123K (Glassdoor est.),"our opportunity: chewy is looking for data scientists to join our data science team in plantation, fl, boston, ma and minneapolis, mn. the teams use analytical and statistical techniques to understand and serve the needs of our business processes. developing data-driven solutions, we are looking for data scientists who are committed to solving business problems using cutting edge technologies and developing data-driven marketing solutions. as part of the data science team at chewy, you will have the opportunity to provide structure to business problems for new and existing chewy customers by applying data science principles to design, test, implement, and develop data-based solutions, including reporting, auditing, and preparing large databases for statistical analysis.",3.5,"Chewy
3.5","Plantation, FL",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail & Wholesale,$5 to $25 million (USD),0,0,82.0,123.0,102.5,Chewy,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,780,113
Data Scientist,Employer Provided Salary:$112K - $165K,"no relocation assistance offered # 154386 - piscataway, new jersey, united states ready for a career that combines global collaboration, continuous learning, and positive impact? at colgate, we offer you the chance to be a part of something bigger than just a job!  our iconic brands, sustainability commitment, and innovative culture set the stage for an inspiring workplace. we value creativity, experimentation, and authenticity, driving our enduring success and building a future to smile about for our employees, consumers, and communities.  as a data scientist on our advanced analytics team, you'll shape colgate's future by developing powerful data products, implementing machine learning models, and optimizing our data science architecture. join our collaborative team of innovators and technologists. your role? lead advanced analytics projects for our global supply chain, using your discernment and technical skills to generate insights that drive business decisions.  unlock a career that leaves you smiling every day at colgate!",4.2,"Colgate-Palmolive
4.2","Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,1,112.0,165.0,138.5,Colgate-Palmolive,NJ,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,na,1043,155
